VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,01/01/2020 12:38:08 AM,01/01/2020 12:39:21 AM,1,0.09,1,N,237,237,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 12:26:07 AM,01/01/2020 12:31:29 AM,1,0.91,1,N,234,114,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,01/01/2020 12:49:08 AM,01/01/2020 12:52:54 AM,1,0.02,1,N,164,164,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 12:44:31 AM,01/01/2020 12:45:05 AM,1,0.06,1,N,68,90,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 12:46:56 AM,01/01/2020 12:59:16 AM,1,2.33,1,N,87,249,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,01/01/2020 12:18:30 AM,01/01/2020 12:21:27 AM,1,0.25,1,N,107,164,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,12/31/2019 11:26:25 PM,12/31/2019 11:27:57 PM,2,0.17,1,N,162,163,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 12:30:31 AM,01/01/2020 12:30:46 AM,1,0.01,1,N,239,239,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 12:18:58 AM,01/01/2020 12:30:53 AM,2,0.81,1,N,107,234,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,01/01/2020 12:58:01 AM,01/01/2020 01:02:39 AM,1,0.64,1,N,170,233,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,01/01/2020 12:10:44 AM,01/01/2020 12:18:38 AM,1,2.32,1,N,140,74,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,01/01/2020 12:10:30 AM,01/01/2020 12:24:14 AM,1,6.96,1,N,229,196,2,20,0.5,0.5,0,0,0.3,23.8,2.5
2,01/01/2020 12:28:04 AM,01/01/2020 12:34:33 AM,1,0.81,1,N,79,113,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2020 12:40:30 AM,01/01/2020 12:45:02 AM,2,0.8,1,N,42,41,2,5.5,0.5,0.5,0,0,0.3,6.8,0
2,01/01/2020 12:08:13 AM,01/01/2020 12:08:27 AM,5,0,1,N,48,48,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 12:26:04 AM,01/01/2020 12:27:18 AM,1,0,1,N,234,234,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 12:55:09 AM,01/01/2020 12:59:11 AM,1,0.65,1,N,148,144,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,01/01/2020 12:01:42 AM,01/01/2020 12:05:13 AM,1,0.66,1,N,236,140,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2020 12:48:19 AM,01/01/2020 01:01:58 AM,1,1.08,1,N,43,162,1,9,0.5,0.5,3.2,0,0.3,16,2.5
1,01/01/2020 12:35:41 AM,01/01/2020 12:46:53 AM,1,1.2,1,N,249,79,1,8.5,3,0.5,2.45,0,0.3,14.75,2.5
2,01/01/2020 12:50:28 AM,01/01/2020 12:50:34 AM,2,0,2,N,79,79,2,52,0,0.5,0,0,0.3,55.3,2.5
2,01/01/2020 12:17:45 AM,01/01/2020 12:20:55 AM,1,0.03,1,N,186,186,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 12:30:14 AM,01/01/2020 12:35:15 AM,1,0.72,1,N,141,140,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,01/01/2020 12:14:15 AM,01/01/2020 12:26:39 AM,1,2.25,1,N,231,107,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,01/01/2020 01:00:29 AM,01/01/2020 01:03:50 AM,1,0.55,1,N,246,246,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2020 12:06:51 AM,01/01/2020 12:21:09 AM,1,3.93,1,N,148,141,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
2,01/01/2020 12:40:30 AM,01/01/2020 12:58:36 AM,1,0.78,1,N,161,164,2,11,0.5,0.5,0,0,0.3,14.8,2.5
2,01/01/2020 12:16:32 AM,01/01/2020 12:28:26 AM,1,1.26,1,N,249,79,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,01/01/2020 12:04:53 AM,01/01/2020 12:26:25 AM,1,11.35,1,N,107,14,2,32.5,0.5,0.5,0,0,0.3,36.3,2.5
2,01/01/2020 12:28:41 AM,01/01/2020 12:34:01 AM,1,0.88,1,N,7,7,2,5.5,0.5,0.5,0,0,0.3,6.8,0
2,01/01/2020 12:18:21 AM,01/01/2020 12:18:59 AM,1,0.16,1,N,148,148,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 12:14:34 AM,01/01/2020 12:15:49 AM,1,0.08,1,N,161,161,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 12:24:37 AM,01/01/2020 12:31:19 AM,1,1.26,1,N,79,45,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,01/01/2020 12:41:11 AM,01/01/2020 12:48:14 AM,1,0.3,1,N,48,48,2,-6,-0.5,-0.5,0,0,-0.3,-9.8,-2.5
2,01/01/2020 12:41:11 AM,01/01/2020 12:48:14 AM,1,0.3,1,N,48,48,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2020 12:00:46 AM,01/01/2020 12:19:33 AM,1,4,1,N,161,263,2,16,0.5,0.5,0,0,0.3,19.8,2.5
2,01/01/2020 12:34:05 AM,01/01/2020 12:51:26 AM,1,9,1,N,161,138,1,26,0.5,0.5,7.18,6.12,0.3,43.1,2.5
2,01/01/2020 12:17:43 AM,01/01/2020 12:21:58 AM,3,0.68,1,N,158,125,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2020 12:15:23 AM,01/01/2020 12:18:06 AM,1,0.4,1,N,234,234,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 12:45:27 AM,01/01/2020 12:52:00 AM,1,0.6,1,N,233,162,2,6,0.5,0.5,0,0,0.3,9.8,2.5
1,01/01/2020 12:59:37 AM,01/01/2020 01:05:42 AM,1,1.1,1,N,79,4,1,6,3,0.5,1.96,0,0.3,11.76,2.5
2,01/01/2020 01:50:04 AM,01/01/2020 01:53:55 AM,1,0.09,1,N,233,233,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 12:44:55 AM,01/01/2020 12:51:10 AM,2,1.85,1,N,48,238,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,01/01/2020 01:53:34 AM,01/01/2020 01:54:17 AM,4,0,5,N,129,129,2,0,0,0,0,0,0.3,0.3,0
2,01/01/2020 01:09:09 AM,01/01/2020 01:15:19 AM,1,0.52,1,N,263,262,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,01/01/2020 01:08:41 AM,01/01/2020 01:08:47 AM,1,0,2,N,140,140,2,52,0,0.5,0,0,0.3,55.3,2.5
2,01/01/2020 12:59:08 AM,01/01/2020 01:00:41 AM,6,0.16,1,N,137,137,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 01:48:39 AM,01/01/2020 01:49:33 AM,1,0,1,N,107,107,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 01:41:49 AM,01/01/2020 01:43:56 AM,3,0.12,1,N,229,229,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
2,01/01/2020 01:04:30 AM,01/01/2020 01:08:36 AM,1,0.99,1,N,140,229,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,01/01/2020 01:10:41 AM,01/01/2020 01:16:31 AM,1,0.65,1,N,229,162,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,01/01/2020 01:53:18 AM,01/01/2020 01:54:23 AM,1,0.15,1,N,162,170,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 01:50:19 AM,01/01/2020 02:01:27 AM,1,2.63,1,N,49,61,2,10.5,0.5,0.5,0,0,0.3,11.8,0
2,01/01/2020 01:16:49 AM,01/01/2020 01:39:30 AM,1,5.37,1,N,141,119,2,19,0.5,0.5,0,0,0.3,22.8,2.5
2,01/01/2020 01:18:56 AM,01/01/2020 01:20:47 AM,1,0.42,1,N,125,231,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
2,01/01/2020 01:08:14 AM,01/01/2020 01:10:14 AM,2,0.24,1,N,42,42,1,3.5,0.5,0.5,0.8,0,0.3,5.6,0
2,01/01/2020 01:35:35 AM,01/01/2020 01:44:55 AM,2,1.49,1,N,158,211,1,8,0.5,0.5,2.95,0,0.3,14.75,2.5
2,01/01/2020 01:26:20 AM,01/01/2020 01:46:16 AM,1,5.78,1,N,141,144,2,20,0.5,0.5,0,0,0.3,23.8,2.5
2,01/01/2020 01:50:41 AM,01/01/2020 02:34:05 AM,4,16.38,1,N,68,259,2,50,0.5,0.5,0,0,0.3,53.8,2.5
2,01/01/2020 01:52:47 AM,01/01/2020 02:17:25 AM,1,10.85,1,N,236,18,2,31.5,0.5,0.5,0,0,0.3,35.3,2.5
2,01/01/2020 01:07:04 AM,01/01/2020 01:24:01 AM,1,2.48,1,N,263,143,2,12.5,0.5,0.5,0,0,0.3,16.3,2.5
2,01/01/2020 01:01:54 AM,01/01/2020 01:10:17 AM,2,1.86,1,N,229,236,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,01/01/2020 12:55:08 AM,01/01/2020 12:56:11 AM,1,0,1,N,107,107,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 01:42:35 AM,01/01/2020 01:44:33 AM,3,0.75,1,N,263,236,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 01:41:32 AM,01/01/2020 01:43:05 AM,1,0.11,1,N,142,143,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 01:40:36 AM,01/01/2020 01:42:14 AM,1,0.52,1,N,237,236,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
2,01/01/2020 01:41:28 AM,01/01/2020 02:12:02 AM,1,9.57,1,N,88,146,2,31,0.5,0.5,0,0,0.3,34.8,2.5
2,01/01/2020 01:53:01 AM,01/01/2020 01:54:42 AM,3,0.15,1,N,164,164,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 01:35:06 AM,01/01/2020 01:40:59 AM,1,0.96,1,N,13,88,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,01/01/2020 01:59:01 AM,01/01/2020 02:00:53 AM,1,0,5,N,233,233,2,90,0,0.5,0,0,0.3,90.8,0
1,01/01/2020 01:30:10 AM,01/01/2020 01:37:37 AM,2,1.1,1,N,181,181,1,7,0.5,0.5,2.05,0,0.3,10.35,0
2,01/01/2020 01:56:28 AM,01/01/2020 02:01:32 AM,1,0.87,1,N,113,114,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,01/01/2020 01:13:50 AM,01/01/2020 01:14:59 AM,1,0.35,1,N,132,132,2,3.5,0.5,0.5,0,0,0.3,4.8,0
2,01/01/2020 01:47:22 AM,01/01/2020 01:49:50 AM,1,0.18,1,N,161,230,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
2,01/01/2020 01:58:07 AM,01/01/2020 02:01:48 AM,2,0.71,1,N,79,137,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2020 01:08:15 AM,01/01/2020 01:15:04 AM,2,1.34,1,N,186,158,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,01/01/2020 01:08:11 AM,01/01/2020 01:09:04 AM,1,0,1,N,229,229,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
1,01/01/2020 01:42:54 AM,01/01/2020 01:56:40 AM,1,2.2,1,N,162,48,1,11,3,0.5,2.95,0,0.3,17.75,2.5
2,01/01/2020 01:17:27 AM,01/01/2020 01:27:36 AM,2,1.65,1,N,107,100,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,01/01/2020 01:58:44 AM,01/01/2020 02:02:23 AM,1,0.7,1,N,170,107,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2020 01:58:44 AM,01/01/2020 01:59:50 AM,1,0.02,1,N,261,261,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 01:05:05 AM,01/01/2020 01:11:14 AM,1,0.94,1,N,246,100,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2020 01:00:07 AM,01/01/2020 01:21:36 AM,1,3.32,1,N,164,231,2,15.5,0.5,0.5,0,0,0.3,19.3,2.5
1,01/01/2020 01:33:10 AM,01/01/2020 02:06:57 AM,1,5.9,1,N,161,226,2,25,3,0.5,0,0,0.3,28.8,2.5
2,01/01/2020 01:26:05 AM,01/01/2020 01:31:33 AM,1,0.97,1,N,68,234,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2020 01:34:22 AM,01/02/2020 12:34:56 AM,1,0.77,1,N,263,141,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,01/01/2020 01:05:34 AM,01/01/2020 01:05:58 AM,1,0,1,N,61,61,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,01/01/2020 01:02:45 AM,01/01/2020 01:12:55 AM,1,0.51,1,N,48,48,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,01/01/2020 01:11:25 AM,01/01/2020 01:12:02 AM,1,0.02,1,N,164,164,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 01:33:25 AM,01/01/2020 01:35:28 AM,1,0.17,1,N,79,79,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
2,01/01/2020 01:33:07 AM,01/01/2020 01:34:11 AM,1,0,1,N,4,4,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 02:14:34 AM,01/01/2020 02:14:58 AM,2,0.06,1,N,161,161,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 02:16:26 AM,01/01/2020 02:22:04 AM,1,0.71,3,N,161,100,2,23,0.5,0,0,0,0.3,23.8,0
2,01/01/2020 02:59:50 AM,01/01/2020 03:00:22 AM,5,0.05,1,N,107,107,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
1,01/01/2020 02:05:37 AM,01/01/2020 02:19:43 AM,1,1.9,1,N,224,68,1,10.5,3,0.5,2,0,0.3,16.3,2.5
2,01/01/2020 12:22:33 AM,01/01/2020 12:28:55 AM,2,1.2,1,N,263,43,1,6.5,0.5,0.5,2,0,0.3,12.3,2.5
